run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__generalization__s0,fastf1_stint_full_uncapped,cvae,generalization,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0,nan,21.86993408203125,23.367101897019396,14.48617935180664,4.67653013269788,,,1.0,0.9359283910522461,8,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_history_conditioned__generalization__s0,fastf1_stint_full_uncapped,inr_transformer_history_conditioned,generalization,0,0.5,0.5,0.4166666666666667,1.0,nan,0.5377323627471924,0.5745443432297532,0.3608122169971466,0.7333023678859849,,,1.0,0.9359283910522461,8,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_history_conditioned__single_shift__s1,fastf1_stint_full_uncapped,inr_transformer_history_conditioned,single_shift,1,0.75,0.75,0.875,1.0,nan,0.05073748156428337,0.046436826450343666,0.0007398759480565786,0.22524982034239976,,,1.0,1.0926130281219482,52,8,8,1
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned__no_shift__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned,no_shift,1,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.0,nan,0.5739375352859497,0.592190557565693,0.0024240631610155106,0.7575866519982712,,,1.0,0.9691771136054993,52,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_fitted_latent__no_shift__s0,fastf1_stint_full_uncapped,inr_transformer_fitted_latent,no_shift,0,1.0,1.0,0.8333333333333334,1.0,nan,0.25062572956085205,0.27688894806065734,0.02626148797571659,0.5006253385125967,,,1.0,0.9051489101181031,52,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_history_conditioned__no_shift__s1,fastf1_stint_full_uncapped,inr_transformer_history_conditioned,no_shift,1,0.75,0.75,0.4166666666666667,0.9166666666666666,nan,0.037163909524679184,0.0383458389627292,0.0005172084202058613,0.19277943231755607,,,1.0,0.9691771136054993,52,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_history_conditioned__no_shift__s0,fastf1_stint_full_uncapped,inr_transformer_history_conditioned,no_shift,0,0.9166666666666666,0.9166666666666666,0.75,1.0,nan,0.03335567191243172,0.03685103250920282,0.00036693247966468334,0.1826353523073551,,,1.0,0.9051489101181031,52,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__new_policy__s0,fastf1_stint_full_uncapped,cvae,new_policy,0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2.925462007522583,0.19372154772281647,0.19592224603375208,0.013452878221869469,0.44013810073977516,,,1.0,0.9887674914131165,52,18,18,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned__single_shift__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned,single_shift,1,0.625,0.625,0.5,1.0,nan,0.6587313413619995,0.6028953750389269,0.005188768729567528,0.8116226594680557,,,1.0,1.0926130281219482,52,8,8,1
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_fitted_latent__novel_generalization__s1,fastf1_stint_full_uncapped,inr_transformer_fitted_latent,novel_generalization,1,0.3888888888888889,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.00415847497060895,1.296445369720459,1.0385133081219968,0.7781488299369812,1.1386155495690629,,,1.0,1.2483666406402587,8,18,18,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned__generalization__s0,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned,generalization,0,0.3333333333333333,0.3333333333333333,0.4166666666666667,1.0,nan,0.9141033887863159,0.9766809058528583,0.4106244444847107,0.9560875424281585,,,1.0,0.9359283910522461,8,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned__new_policy__s0,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned,new_policy,0,0.5,0.75,0.4444444444444444,0.6666666666666666,0.5180684924125671,0.5501760840415955,0.5564261454988781,0.0020767683163285255,0.7417385550459107,,,1.0,0.9887674914131165,52,18,18,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__generalization__s1,fastf1_stint_full_uncapped,cvae,generalization,1,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0,nan,23.624637603759766,23.597069210020535,6.595832347869873,4.860518244360344,,,1.0,1.0011682973632812,8,12,12,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_history_conditioned__specialization__s1,fastf1_stint_full_uncapped,inr_transformer_history_conditioned,specialization,1,0.5,0.5,0.5,1.0,nan,0.07363200932741165,0.08471546519425668,0.002113678026944399,0.27135218688525736,,,1.0,0.869168447090149,52,2,2,2
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned__single_shift__s0,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned,single_shift,0,0.75,0.75,0.625,1.0,nan,0.557327389717102,0.5780469991210739,0.005259830504655838,0.7465436288102002,,,1.0,0.9641558395156861,52,8,8,1
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__novel_generalization__s1,fastf1_stint_full_uncapped,cvae,novel_generalization,1,0.2777777777777778,0.4166666666666667,0.4444444444444444,0.6666666666666666,3.2374541759490967,18.47645378112793,14.800502656536688,4.482241630554199,4.2984245696682795,,,1.0,1.2483666406402587,8,18,18,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__specialization__s1,fastf1_stint_full_uncapped,cvae,specialization,1,0.5,0.5,1.0,1.0,nan,0.8182289600372314,0.9413928482753192,0.4542442560195923,0.9045600919989957,,,1.0,0.869168447090149,52,2,2,2
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__inr_transformer_fitted_latent__new_policy__s0,fastf1_stint_full_uncapped,inr_transformer_fitted_latent,new_policy,0,0.6666666666666666,1.0,0.6111111111111112,0.6666666666666666,0.0037909310776740313,0.2986421585083008,0.30203476661787343,0.027597473934292793,0.5464816177222257,,,1.0,0.9887674914131165,52,18,18,0
outputs/fastf1/uncapped_full_suite/fastf1_stint_full_uncapped__cvae__no_shift__s1,fastf1_stint_full_uncapped,cvae,no_shift,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,nan,0.32987409830093384,0.3403651341639172,0.048288580030202866,0.5743466708364677,,,1.0,0.9691771136054993,52,12,12,0
